sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
30906298797,2021-02-11T13:13:30Z,83,22,20,41,101,66,0.10053475935828877
30906298796,2021-02-10T10:19:00Z,86,22,22,42,99,66,0.09539121114683816
30906298795,2021-02-09T07:25:30Z,79,21,22,36,72,67,0.08160442600276625
30906298794,2021-02-08T16:37:00Z,67,21,20,26,52,68,0.0922242314647378
30906298793,2021-02-07T13:41:00Z,75,20,20,35,72,68,0.08755760368663594
30906298792,2021-02-06T09:54:30Z,76,21,20,35,53,68,0.1225296442687747
30808358607,2021-02-05T09:03:00Z,75,21,19,35,66,65,0.12244897959183673
30808358606,2021-02-04T12:09:30Z,82,21,19,42,92,65,0.13224043715846995
30808358605,2021-02-03T08:33:30Z,78,21,20,37,58,65,0.12895069532237674
30808358604,2021-02-02T08:16:30Z,81,19,22,40,87,65,0.09090909090909091
30808358603,2021-02-01T15:49:30Z,63,17,19,27,39,65,0.11546840958605664
30733761047,2021-01-31T11:25:00Z,77,20,18,39,42,63,0.13110846245530394
30733761046,2021-01-30T11:17:30Z,79,23,16,40,107,63,0.15463917525773196
30703536366,2021-01-29T06:49:30Z,81,21,19,41,95,63,0.13713713713713713
30689890848,2021-01-28T09:54:00Z,79,21,19,39,76,62,0.13606194690265486
30676803947,2021-01-27T10:18:30Z,86,23,18,45,113,62,0.15578764142732812
30660640029,2021-01-26T08:17:30Z,81,22,18,41,86,64,0.18984771573604062
30660858160,2021-01-25T08:41:00Z,76,21,20,35,68,65,0.13451086956521738
30633528099,2021-01-24T09:07:00Z,84,23,20,41,116,65,0.10914454277286136
30623469125,2021-01-23T09:23:00Z,80,22,19,39,89,64,0.14108910891089108
30607072398,2021-01-22T05:05:30Z,71,20,20,31,40,64,0.09711286089238845
30597457443,2021-01-21T08:01:30Z,84,23,19,42,110,63,0.1309164149043303
30580232951,2021-01-20T07:07:30Z,78,22,17,39,85,62,0.19466975666280417
30558076058,2021-01-19T07:05:00Z,85,23,20,42,127,62,0.11957671957671957
30543222370,2021-01-18T06:39:30Z,83,22,19,42,94,61,0.12714429868819374
30529632364,2021-01-17T06:58:30Z,85,23,16,46,108,60,0.14285714285714285
30514142517,2021-01-16T05:12:30Z,75,21,17,37,66,60,0.17202970297029702
30498775681,2021-01-15T05:49:30Z,82,23,19,40,109,61,0.12906220984215414
30492013371,2021-01-14T05:04:00Z,80,22,19,39,94,62,0.1273957158962796
30471382554,2021-01-13T07:33:30Z,86,22,19,45,105,63,0.1257189811010682
30454893464,2021-01-12T02:39:00Z,71,20,17,34,75,64,0.1791044776119403
30454893461,2021-01-09T22:28:00Z,69,21,16,32,67,63,0.15789473684210525
30407494226,2021-01-09T07:26:30Z,51,15,17,19,35,63,0.13822894168466524
30408350369,2021-01-08T22:58:30Z,73,21,20,32,48,66,0.12984822934232715
30392308757,2021-01-08T03:45:30Z,71,17,18,36,72,66,0.16382699868938402
30381289779,2021-01-07T05:53:00Z,61,17,18,26,45,65,0.15891472868217055
30374167658,2021-01-06T19:41:00Z,68,21,19,28,61,66,0.11372549019607843
30367661018,2021-01-06T04:45:30Z,61,16,20,25,49,66,0.10124333925399645
30367661017,2021-01-05T08:51:30Z,68,17,18,33,79,66,0.1080368906455863
