,Time,Username,UserID,Voice Channel
1292,20:37:37,johann,396397812037713924,Token Engineering
1295,20:39:7,johann,396397812037713924,Token Engineering
1298,20:40:37,johann,396397812037713924,Token Engineering
1301,20:42:7,johann,396397812037713924,Token Engineering
1304,20:43:37,johann,396397812037713924,Token Engineering
1307,20:45:8,johann,396397812037713924,Token Engineering
1310,20:46:38,johann,396397812037713924,Token Engineering
1312,20:48:8,johann,396397812037713924,Token Engineering
1314,20:49:38,johann,396397812037713924,Token Engineering
1316,20:51:8,johann,396397812037713924,Token Engineering
1318,20:52:38,johann,396397812037713924,Token Engineering
1320,20:54:8,johann,396397812037713924,Token Engineering
